SKU,Producto,Marca_o_Detalle,Precio_Normal,Precio_Cyber,Descuento,Enlace_Imagen,Estado_WooCommerce
2499029,PROT. LASUR ROBLE MATE 750 ML,12.31,$17.100,$15.390,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499029.png,Encontrado
2499080,OXIRON MARRON 750 ML,10.91,$16.500,$14.850,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/esmalte-antioxidante-marron-oxido-214-oxiron-interior-exterior-forja.jpg,Encontrado
2499107,OXIRON FORJA ROJO 750 ML,10.91,$16.500,$14.850,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/esmalte-antioxidante-rojo-oxido-215-oxiron-interior-exterior-forja.jpg,Encontrado
2499111,BARNIZ TITANLUX MATE 4 LTS,45.79,$69.200,$62.280,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499111.png,Encontrado
2499132,BARNIZ SUELO BRILLANTE,44.13,$63.900,$57.510,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499132.png,Encontrado
2499160,LASUR TARIMA 750 ML,15.45,$23.930,$21.537,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/12/2499160.png,Encontrado
2499162,PROT. LASUR NOGAL  MATE 750 ML,12.31,$17.100,$15.390,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499162.png,Encontrado
2499166,FONDO INCOLORO AL AFUA 750 ML,9.49,$14.100,$12.690,-10%,,No creado en WooCommerce
2499168,BZ EFECTO MADERA ROBLE 750 ML,13.94,$11.800,$10.620,-10%,,No creado en WooCommerce
2499169,BZ EFECTO MADERA NOGAL 750 ML,13.94,$11.800,$10.620,-10%,,No creado en WooCommerce
2499172,BZ EFECTO MADERA SAPELI 750 ML,13.94,$11.800,$10.620,-10%,,No creado en WooCommerce
2499188,PROT. LASUR ROBLE SAT 750 ML,8.89,$17.100,$15.390,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499188-1.png,Encontrado
2499189,PROT. LASUR PINO NAT. SAT. 750 ML,9.27,$17.100,$15.390,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/12/2499189.png,Encontrado
2499222,BARNIZ ECO INTEMPERIE SAT 750 ML,12.73,$18.500,$16.650,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499222.png,Encontrado
2499226,PROT. LASUR TECA SAT 750 ML,8.89,$17.100,$15.390,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499226.png,Encontrado
2499231,PROT. LASUR NOGAL SAT 750 ML,8.89,$17.100,$15.390,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/2499231.png,Encontrado
2899043,LLAVE MOD. FTK-832,21.9,$35.100,$28.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/20.png,Encontrado
2899042,LLAVE. MOD FT-9401,14.6,$24.580,$19.664,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/19.png,Encontrado
2899057,LLAVE LAVAMANO MOD. 11982-A,38.86,$61.400,$49.120,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/14.png,Encontrado
